,ski_resort,address,city,state,zipcode,sumt,drop,base,gondolas_and_trams,fastEight,highSpeedSixes,quadChairs,tripleChairs,doubleChairs,surfeLifts,totalRuns (acre),longestRun (miles),daysOpenLastYear,averageSnowfall (inches),projectedOpening,projectedClosing,NovSnow,DecSnow,JanSnow,FebSnow,MarSnow,AprSnow,child_season,junior_season,adult_season,child_weekday,junior_weekday,adult_weekday,senior_weekday,child_weekend,junior_weekend,adult_weekend,Url,beginner_runs,intermediate_runs,advanced_runs,expert_runs,epic,mountain_collective,ikon,indy,dec_mean_2_guests,dec_min_2_guests,dec_max_2_guests,jan_mean_2_guests,jan_min_2_guests,jan_max_2_guests,feb_mean_2_guests,feb_min_2_guests,feb_max_2_guests,mar_mean_2_guests,mar_min_2_guests,mar_max_2_guests,apr_mean_2_guests,apr_min_2_guests,apr_max_2_guests,may_mean_2_guests,may_min_2_guests,may_max_2_guests,dec_mean_4_guests,dec_min_4_guests,dec_max_4_guests,jan_mean_4_guests,jan_min_4_guests,jan_max_4_guests,feb_mean_4_guests,feb_min_4_guests,feb_max_4_guests,mar_mean_4_guests,mar_min_4_guests,mar_max_4_guests,apr_mean_4_guests,apr_min_4_guests,apr_max_4_guests,may_mean_4_guests,may_min_4_guests,may_max_4_guests,full_address,latitude,longitude,total_lifts
10,Appalachian Ski Mountain,PO Box 106,Blowing Rock,North Carolina,28605,4000,365,3635,0.0,0.0,0.0,2.0,0.0,1.0,3.0,27,0.5,100,50,November 24 2023,March 17 2024,5.0,13.0,5.0,5.0,3.0,0.0,10,450,575,450,33,32,41,32,29,46,https://www.onthesnow.com/north-carolina/appalhian-ski-mtn/ski-resort.html,33,33,33,0,0,0,0,0,222.94444444444446,111.0,533.0,217.4857142857143,101.0,533.0,216.57142857142856,103.0,459.0,221.58333333333331,115.0,494.0,239.97222222222226,141.0,523.0,158.45454545454547,95.0,220.0,278.7428571428572,125.0,626.0,247.37142857142857,141.0,390.0,277.8285714285714,152.0,675.0,266.51428571428573,110.0,654.0,279.57142857142856,141.0,642.0,226.7272727,100.0,505.0,"PO Box 106, Blowing Rock, North Carolina",36.135129,-81.6776059,6.0
11,Apple Mountain,4519 N. River Road,Freeland,Michigan,48623,820,220,600,0.0,0.0,0.0,1.0,0.0,0.0,5.0,42,0.0,0,52,December 13 2025,March 14 2026,0.0,0.5,2.0,5.0,2.0,0.0,296,35,35,35,33,35,35,35,29,25,https://www.onthesnow.com/Michigan/apple-mountain/ski-resort.html,0,0,0,0,0,0,0,0,145.72727272727272,79.0,279.0,154.05882352941177,79.0,395.0,148.57142857142858,62.0,280.0,150.3030303030303,45.0,338.0,154.54285714285714,79.0,319.0,104.5,45.0,249.0,180.2647058823529,92.0,329.0,180.0,92.0,300.0,175.33333333333337,92.0,332.0,177.63636363636363,92.0,332.0,184.3636363636364,85.0,329.0,155.18181819999998,52.0,293.0,"4519 N. River Road, Freeland, Michigan",43.4709726,-84.1070199,6.0
12,Arapahoe Basin,PO Box 5808,Dillon,Colorado,80435,13050,2530,10780,0.0,1.0,0.0,3.0,1.0,1.0,3.0,125,1.5,234,350,October 23 2022,June 04 2023,33.0,43.0,43.0,42.0,45.0,39.0,169,459,619,379,59,79,89,99,69,99,https://www.onthesnow.com/colorado/arapahoe-basin-ski-area/ski-resort.html,7,20,49,24,0,1,1,0,141.86111111111111,98.0,268.0,165.17142857142858,104.0,226.0,179.4857142857143,104.0,285.0,186.38888888888889,93.0,325.0,152.58333333333334,93.0,219.0,105.5625,75.0,183.0,186.68571428571425,99.0,359.0,251.74285714285716,126.0,430.0,256.6,126.0,477.0,290.7142857142857,150.0,478.0,220.8,119.0,397.0,142.6086957,83.0,237.0,"PO Box 5808, Dillon, Colorado",39.6302643,-106.0433518,9.0
13,Arizona Snowbowl,P.O. Box 40,Flagstaff,Arizona,86002,11500,2300,9200,0.0,0.0,1.0,2.0,2.0,1.0,2.0,104,2.0,122,260,November 18 2022,May 29 2023,11.0,34.0,58.0,49.0,44.0,4.0,599,699,999,749,33,46,49,39,29,55,https://www.onthesnow.com/arizona/arizona-snowbowl/ski-resort.html,22,44,22,13,0,0,0,0,144.22857142857143,62.0,289.0,150.85714285714286,72.0,300.0,152.65714285714284,82.0,289.0,154.2941176470588,86.0,295.0,169.0909090909091,89.0,302.0,121.84615384615385,70.0,179.0,251.90625,137.0,721.0,204.3030303030303,99.0,391.0,220.03030303030303,99.0,783.0,203.5,99.0,393.0,227.6060606060606,99.0,750.0,192.88888889999998,128.0,306.0,"P.O. Box 40, Flagstaff, Arizona",35.1982836,-111.651302,8.0
14,Aspen Snowmass,P.O. Box 1248,Aspen,Colorado,81612,12510,4406,8104,3.0,15.0,1.0,4.0,3.0,5.0,9.0,658,5.3,150,300,November 23 2023,April 21 2024,24.0,66.0,56.0,59.0,69.0,33.0,899,2899,2149,131,131,189,131,141,141,199,https://www.onthesnow.com/colorado/aspen-snowmass/ski-resort.html,0,0,0,0,0,1,1,0,316.82857142857137,170.0,800.0,473.57142857142856,141.0,1450.0,533.2121212121212,198.0,1393.0,556.4,145.0,1391.0,465.1176470588235,134.0,1950.0,225.64705882352942,115.0,327.0,624.2571428571429,216.0,1402.0,835.90625,191.0,1660.0,837.2941176470587,299.0,1402.0,764.6764705882354,191.0,1402.0,841.5757575757576,272.0,1950.0,400.46666669999996,200.0,995.0,"P.O. Box 1248, Aspen, Colorado",39.19109829999999,-106.81753870000001,40.0
15,Attitash,PO Box 308,Bartlett,New Hampshire,03812,2350,1750,600,0.0,2.0,0.0,1.0,3.0,0.0,2.0,240,3.0,115,120,December 02 2023,April 07 2024,1.0,19.0,21.0,30.0,17.0,2.0,335,519,639,59,79,59,67,89,67,55,https://www.onthesnow.com/new-hampshire/attitash/ski-resort.html,26,46,28,0,1,0,0,0,164.94117647058823,76.0,300.0,161.6,106.0,300.0,168.62857142857143,109.0,329.0,170.48571428571432,97.0,275.0,160.375,73.0,248.0,124.58333333333331,75.0,249.0,211.41176470588238,107.0,446.0,229.45714285714286,106.0,431.0,225.7142857142857,110.0,394.0,215.15151515151518,97.0,375.0,209.05714285714282,107.0,399.0,164.70833330000002,72.0,275.0,"PO Box 308, Bartlett, New Hampshire",44.0738899,-71.23428659999999,8.0
16,Bear Creek Mountain,101 Doe Mountain Lane,Mungie,Pennsylvania,18062,1100,510,600,0.0,0.0,0.0,3.0,1.0,0.0,2.0,86,1.0,91,30,December 24 2023,March 19 2024,0.9,1.0,7.0,8.0,4.0,0.0,25,419,25,43,50,43,49,60,49,55,https://www.onthesnow.com/pennsylvania/bear-creek-mountain-resort/ski-resort.html,45,27,27,0,0,0,0,0,186.12121212121207,77.0,534.0,155.4848484848485,85.0,530.0,188.72727272727272,77.0,537.0,188.45454545454547,77.0,538.0,185.54545454545453,77.0,530.0,121.53571428571428,39.0,295.0,224.05714285714282,100.0,535.0,230.42857142857144,105.0,530.0,232.77142857142857,105.0,541.0,231.2,94.0,541.0,241.77142857142857,94.0,530.0,193.08333330000002,89.0,337.0,"101 Doe Mountain Lane, Mungie, Pennsylvania",40.476212,-75.62576419999998,6.0
17,Bear Mountain,P.O. Box 77,Big Bear Lake,California,92315,8805,1665,7140,0.0,2.0,0.0,1.0,2.0,3.0,0.0,198,1.5,0,0,November 12 2022,April 23 2023,5.0,16.0,29.0,28.0,23.0,0.0,319,549,639,258,33,46,49,39,29,55,https://www.onthesnow.com/california/bear-mountain/ski-resort.html,23,46,23,8,0,0,1,0,207.24137931034485,90.0,390.0,175.65384615384616,84.0,364.0,189.8275862068965,90.0,393.0,188.28125,46.0,406.0,173.1875,46.0,447.0,125.88888888888887,69.0,213.0,237.89285714285717,90.0,470.0,244.03225806451616,84.0,869.0,200.6,90.0,390.0,223.53333333333333,46.0,450.0,206.5,46.0,415.0,182.81818180000002,80.0,461.0,"P.O. Box 77, Big Bear Lake, California",34.243896299999996,-116.9114215,8.0
18,Bear Valley,P.O. Box 5038,Bear Valley,California,95223,8500,1900,6600,0.0,1.0,1.0,0.0,2.0,4.0,2.0,100,1.2,165,359,December 16 2023,April 14 2024,12.0,65.0,71.0,55.0,70.0,16.0,399,539,649,399,33,46,49,39,29,55,https://www.onthesnow.com/california/bear-valley/ski-resort.html,11,41,45,4,0,0,0,0,235.4705882352941,117.0,355.0,291.54545454545456,126.0,800.0,268.6857142857143,127.0,568.0,231.84848484848484,103.0,500.0,222.41176470588238,102.0,500.0,174.0,87.0,302.0,270.2857142857143,132.0,544.0,306.2857142857143,126.0,800.0,279.6,127.0,569.0,269.25714285714287,127.0,633.0,272.08823529411757,141.0,640.0,219.0,84.0,500.0,"P.O. Box 5038, Bear Valley, California",38.46463370000001,-120.03990879999999,10.0
19,Beaver Creek,PO Box 7,Vail,Colorado,81658,11440,3340,8100,2.0,11.0,0.0,0.0,1.0,1.0,9.0,650,2.8,144,323,November 22 2023,April 14 2024,22.0,52.0,49.0,46.0,52.0,16.0,448,879,132,191,215,170,275,237,29,55,https://www.onthesnow.com/colorado/beaver-creek/ski-resort.html,38,30,24,8,1,0,0,0,268.9166666666667,139.0,458.0,338.1142857142857,160.0,717.0,355.8,161.0,717.0,338.8611111111111,164.0,717.0,331.8611111111111,108.0,790.0,127.625,70.0,210.0,420.45714285714286,154.0,900.0,598.2,160.0,1400.0,546.4857142857144,161.0,1400.0,462.1764705882353,242.0,1100.0,565.7428571428571,185.0,1815.0,262.76190479999997,85.0,779.0,"PO Box 7, Vail, Colorado",39.643324299999996,-106.37808009999999,24.0
20,Beaver Mountain,P.O. Box 3455,Logan,Utah,84323-3455,8860,1600,7232,0.0,0.0,0.0,0.0,3.0,1.0,2.0,880,1.7,120,200,December 06 2023,April 07 2024,0.1,28.0,56.0,49.0,47.0,4.0,355,590,100,40,50,40,40,50,40,35,https://www.onthesnow.com/utah/beaver-mountain/ski-resort.html,0,0,0,0,0,0,0,1,93.14705882352942,39.0,173.0,101.68571428571428,39.0,198.0,102.94117647058823,39.0,200.0,103.77142857142857,39.0,199.0,113.34285714285713,39.0,299.0,76.45833333333333,27.0,144.0,152.17142857142858,69.0,420.0,153.77142857142857,89.0,365.0,154.31428571428572,79.0,370.0,151.88571428571427,60.0,409.0,163.08571428571432,89.0,404.0,127.58333329999999,65.0,242.0,"P.O. Box 3455, Logan, Utah",41.7369803,-111.83383590000001,6.0
21,Ski Beech Mountain,PO Box 1118,Banner  Elk,North Carolina,28604,5506,830,4675,0.0,0.0,0.0,3.0,0.0,3.0,2.0,95,1.0,98,31,December 03 2023,March 18 2024,0.5,6.0,18.0,12.0,4.0,0.0,5,470,575,470,33,31,41,31,29,48,https://www.onthesnow.com/north-carolina/ski-beech-mountain-resort/ski-resort.html,0,0,0,0,0,0,0,0,169.05882352941177,85.0,533.0,161.54545454545453,85.0,533.0,151.17647058823533,85.0,538.0,164.0,85.0,459.0,169.78787878787878,85.0,469.0,120.75,58.0,220.0,222.0,88.0,429.0,202.0857142857143,87.0,340.0,214.14705882352942,88.0,641.0,210.11764705882354,88.0,558.0,217.45714285714286,87.0,354.0,155.1176471,76.0,245.0,"PO Box 1118, Banner  Elk, North Carolina",36.1631817,-81.87150190000001,8.0
22,Belleayre,P.O. Box 313,Highmount,New York,12441-0313,3429,1404,2025,1.0,1.0,0.0,2.0,1.0,0.0,3.0,168,2.2,154,130,November 17 2023,April 16 2024,2.0,21.0,22.0,28.0,25.0,3.0,296,478,490,258,33,46,49,39,29,55,https://www.onthesnow.com/new-york/belleayre/ski-resort.html,17,44,24,14,0,0,0,0,245.3636363636364,108.0,575.0,226.41935483870967,107.0,575.0,263.84375,108.0,575.0,258.96875,108.0,705.0,252.32352941176467,107.0,748.0,178.88,87.0,350.0,294.75757575757575,179.0,589.0,311.6666666666667,160.0,822.0,317.6333333333333,179.0,753.0,342.1818181818182,200.0,705.0,353.3030303030303,186.0,748.0,252.75,127.0,550.0,"P.O. Box 313, Highmount, New York",42.1470192,-74.49432390000001,8.0
23,Berkshire East,P.O. Box 727,Charlemont,Masshusetts,01339,1720,1180,540,0.0,0.0,0.0,2.0,1.0,1.0,2.0,165,2.0,120,120,December 22 2023,April 02 2024,0.1,9.0,17.0,26.0,16.0,0.7,296,589,699,589,48,48,35,48,68,48,https://www.onthesnow.com/masshusetts/berkshire-east/ski-resort.html,30,35,30,5,0,0,0,1,214.82352941176467,73.0,500.0,201.79411764705884,92.0,500.0,199.42857142857144,93.0,500.0,199.57142857142856,96.0,500.0,212.3142857142857,96.0,500.0,199.07142857142856,69.0,800.0,298.73529411764713,145.0,500.0,292.5,106.0,500.0,283.2857142857143,149.0,500.0,276.6857142857143,107.0,500.0,280.22857142857146,107.0,500.0,265.9166667,135.0,800.0,"P.O. Box 727, Charlemont, Masshusetts",42.627862,-72.86981829999998,6.0
24,Big Bear,HC1 BOX 1A 353,Lkawaxen,Pennsylvania,18435,1250,650,600,0.0,0.0,0.0,0.0,0.0,4.0,3.0,26,1.0,75,55,December 17 2023,March 26 2024,0.1,4.0,10.0,7.0,4.0,0.0,395,40,50,40,47,62,47,79,104,79,https://www.onthesnow.com/pennsylvania/big-bear/ski-resort.html,33,28,33,6,0,0,0,0,281.5625,83.0,688.0,270.4375,92.0,570.0,297.25,169.0,570.0,285.09375,55.0,773.0,267.22580645161287,55.0,662.0,226.29166666666663,65.0,546.0,266.46875,167.0,424.0,284.9375,142.0,550.0,310.84375,105.0,693.0,285.22580645161287,105.0,550.0,293.741935483871,105.0,662.0,239.63636359999998,149.0,546.0,"HC1 BOX 1A 353, Lkawaxen, Pennsylvania",41.482034000000006,-74.9860016,7.0
25,Big Boulder,P.O.Box 1539,Blakeslee,Pennsylvania,18610,2175,600,1700,0.0,0.0,0.0,0.0,2.0,5.0,1.0,55,0.0,76,50,December 26 2023,March 19 2024,0.0,6.0,8.0,12.0,9.0,0.0,899,1129,10,35,50,35,10,49,65,49,https://www.onthesnow.com/pennsylvania/big-boulder/ski-resort.html,38,19,44,0,1,0,0,0,205.03448275862067,103.0,654.0,184.56666666666663,96.0,495.0,203.16666666666663,104.0,646.0,198.7,104.0,612.0,199.06666666666663,96.0,639.0,139.9230769230769,72.0,205.0,224.32142857142856,103.0,441.0,201.7333333333333,103.0,495.0,204.5,103.0,335.0,221.7037037037037,104.0,613.0,217.06666666666663,103.0,639.0,215.36363640000002,72.0,350.0,"P.O.Box 1539, Blakeslee, Pennsylvania",41.092586,-75.59268859999999,8.0
26,Big Powderhorn Mountain,N11375 Powderhorn Road,Bessemer,Michigan,49911,1800,600,1200,0.0,0.0,0.0,0.0,0.0,9.0,1.0,228,1.0,100,214,December 22 2023,April 01 2024,0.4,16.0,28.0,28.0,11.0,1.0,129,379,479,379,44,56,69,56,44,56,https://www.onthesnow.com/Michigan/big-powderhorn-mountain/ski-resort.html,27,40,31,2,0,0,0,1,154.9090909090909,75.0,407.0,160.0909090909091,75.0,407.0,162.03030303030303,75.0,407.0,190.03125,75.0,407.0,167.72727272727272,75.0,393.0,117.57142857142857,66.0,258.0,197.0,98.0,407.0,204.33333333333331,98.0,417.0,208.96969696969697,98.0,407.0,212.6969696969697,98.0,407.0,200.3939393939394,95.0,393.0,148.33333330000002,85.0,258.0,"N11375 Powderhorn Road, Bessemer, Michigan",46.5097428,-90.0941598,10.0
27,Big Sky,P.O. Box 160001,Big Sky,Montana,59716-0001,11166,4350,7500,1.0,5.0,2.0,3.0,7.0,5.0,12.0,400,6.0,144,400,November 22 2023,April 21 2024,17.0,60.0,47.0,57.0,56.0,34.0,699,949,1869,1769,1,106,152,146,1,113,https://www.onthesnow.com/montana/big-sky-resort/ski-resort.html,15,25,42,18,0,1,1,0,208.14285714285717,125.0,364.0,261.42857142857144,150.0,434.0,271.6,99.0,550.0,294.2857142857143,99.0,550.0,258.94444444444446,99.0,500.0,128.44444444444446,63.0,368.0,314.65714285714284,163.0,649.0,451.8285714285714,193.0,1059.0,431.31428571428563,194.0,675.0,486.9117647058823,195.0,1100.0,412.1714285714286,195.0,999.0,262.0952381,95.0,625.0,"P.O. Box 160001, Big Sky, Montana",45.26178059999999,-111.3080244,35.0
28,Big Squaw Mountain Ski,P.O. Box 430,Greenville,Maine,04441,3200,660,1750,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29,0.8,67,0,December 26 2023,April 09 2024,0.0,3.0,9.0,7.0,3.0,0.0,100,375,520,425,33,25,30,39,29,25,https://www.onthesnow.com/maine/big-squaw-mountain-ski-resort/ski-resort.html,0,0,0,0,0,0,0,0,196.9705882352941,79.0,415.0,187.65714285714282,92.0,432.0,192.22857142857143,78.0,415.0,219.5,95.0,440.0,235.54838709677418,95.0,759.0,153.92857142857142,70.0,237.0,259.37142857142857,109.0,450.0,239.2,92.0,694.0,250.4,92.0,694.0,263.3235294117647,150.0,694.0,266.2352941176471,139.0,759.0,185.41666669999998,88.0,382.0,"P.O. Box 430, Greenville, Maine",45.45948629999999,-69.59058150000001,2.0
29,Bittersweet,600 River Road,Otsego,Michigan,49078,850,350,450,0.0,0.0,0.0,1.0,6.0,0.0,4.0,100,0.2,80,90,November 22 2023,March 17 2024,1.0,6.0,15.0,15.0,4.0,0.0,290,350,440,390,19,38,24,48,29,55,https://www.onthesnow.com/Michigan/bittersweet-ski-area/ski-resort.html,39,39,22,0,0,0,0,0,179.2121212121212,72.0,460.0,161.85714285714286,69.0,430.0,180.82352941176467,72.0,460.0,174.3030303030303,72.0,460.0,173.6470588235294,69.0,430.0,122.53571428571428,59.0,375.0,235.125,120.0,560.0,234.0606060606061,122.0,530.0,233.4838709677419,124.0,560.0,222.29032258064515,115.0,410.0,232.2121212121212,122.0,530.0,213.04166669999998,83.0,400.0,"600 River Road, Otsego, Michigan",42.4671003,-85.7584363,11.0
