,review_date,state,ski_resort,rating,review,user_name
17,2023-05-04,Colorado,Copper Mountain,2,So many gapers!,anon_5
18,2023-05-04,New Mexico,Taos Ski Valley,5,Awesome,anon_5
19,2023-05-04,Colorado,Aspen Snowmass,4,Weeeeee!,anon_5
20,2023-05-04,Colorado,Aspen Snowmass,5,Yeah!,anon_5
21,2023-05-04,Colorado,Powder Mountain,3,"First time skiing, mountain wasn’t anything crazy",anon_6
22,2023-05-04,Utah,Alta,5,"CRAZY mountain compared to everywhere else I've been, franks was a blast ",anon_6
23,2023-05-04,Utah,Solitude Mountain,5,Awesome resort once I got better,anon_6
24,2023-05-04,Utah,Brighton,5,"Best ski resort to learn on, it will forever be home base ",anon_6
25,2023-05-04,Washington,Mt. Baker,5,Amazing ,anon_7
26,2023-05-04,Washington,Stevens Pass,2,Icy,anon_7
27,2023-05-04,Washington,Crystal Mountain Washington,2,Overcrowded,anon_7
28,2023-05-05,California,Mammoth Mountain,5,"Mammoth fires on all cylinders, lots of great terrain, lots of great lifts, quality amenities.",anon_8
29,2023-05-05,California,Bear Valley,1,"Slow lifts, dirty lodge, unorganized. Not impressed",anon_8
30,2023-05-05,Nevada,Mt. Rose Ski Tahoe,4,"Great terrain, not too crowded, not enough express lifts.",anon_8
31,2023-05-05,California,Dodge Ridge,4,"Super chill, relaxed environment. Slow lifts, but they're efficient. Clean lodge.",anon_8
32,2023-05-05,California,Palisades Tahoe,4,"Lots of great terrain and lifts, the overall feel is a little more industrial though.",anon_8
33,2023-05-05,Utah,Beaver Mountain,5,"Laidback, hometown atmosphere with stellar powder for most of the season",anon_9
34,2023-05-05,Utah,Nordic Mountain,4,"Inexpensive, great for a student!",anon_9
36,2023-05-05,Utah,Park City Mountain,3,"Well-run, very expensive, commercialized. Not my favorite, but would revisit",anon_9
37,2023-05-05,New York,Hunter Mountain,1,Very crowded and snow quality is typically low. But this is due to the poor weather.,Stephanie Ciaccia
38,2023-05-05,Colorado,Vail,4,Amazing back bowls and snow. Pricey resort though. Lift tickets are very expensive.,Stephanie Ciaccia
39,2023-05-05,Utah,Snowbird,5,Amazing terrain and huge mountain yet still feels like a small resort. One of my favorites in the US.,Stephanie Ciaccia
40,2023-05-05,Colorado,Breckenridge,4,Great bus route that makes the mountain easily accessible. Has long groomers and good snow quality.,Stephanie Ciaccia
41,2023-05-05,Utah,Park City Mountain,4,"Great terrain, close to airport, but lodging is very expensive",Stephanie Ciaccia
42,2023-05-09,New York,Snow Ridge,3,"Great skiing, a little inconvenient to drive to and always packed with people but it has great slopes",Joseph Lew
43,2023-05-09,New York,Gore Mountain,4,"Huge mountain, great price for great slopes and well carved moguls! Absolute must for any skier! ",Joseph Lew
44,2023-05-09,Pennsylvania,Roundtop Mountain,3,Greta nigh skiing and never busy! Prices are not great on the weekends but definitely should try once!,Joseph Lew
45,2023-05-09,New York,Woods Valley,3,I haven't gone to this resort as much because of the crowds and overpriced day passes but it still has great slopes for all levels. ,Joseph Lew
46,2023-05-09,New York,McCauley Mountain,5,Overall I've gone almost every week and had a great time everytime especially if the weather calls for good powder. ,Joseph Lew
47,2023-05-09,Washington,Stevens Pass,5,"Lots of snow, small local mountain. ",Alexandria K.
48,2023-05-09,Colorado,Vail,3,"Lots of terrain, but very busy. ",Alexandria K.
49,2023-05-09,Utah,Snowbird,4,"Great expert terrain, feels very grand and exciting. ",Alexandria K.
50,2023-05-09,Utah,Park City Mountain,2,"Lots of terrain, but usually very busy.  town is great, but the skiing for all mountain is only okay. ",Alexandria K.
51,2023-05-09,Colorado,Telluride,5,"Super fun, good intermediate terrain, very steep, feels like you can get lost in the mountains, has really hard terrain for those who want it too",Deanna U.
52,2023-05-09,Colorado,Breckenridge,3,Huge mountain but not as pretty. Blues are too easy. Great local village though and fun apres. Very crowded greens ,Deanna U.
53,2023-05-09,Colorado,Crested Butte Mountain,3,Really cool resort but on the small side and  most terrain is too difficult for intermediate skiers. Great town near by though,Deanna U.
54,2023-05-09,Utah,Alta,5,Really good resort for feeling like you can get lost in the mountains. Excellent terrain for all levels. Tons of snow. ,Deanna U.
55,2023-05-09,Colorado,Vail,4,One of my favorites. Good intermediate terrain and fun back bowls. less steep overall. A little fancy / kinda snobby ,Deanna U.
56,2023-05-10,Colorado,Breckenridge,4,"Breck is a decent resort, but a lot of the terrain is pretty uninteresting. Blues are very flat for example. Some of this was also due to me being with a beginner crew, and it’s a bit harder to just ski an advanced run next to a beginner run here. Also it can be crowded and is a pain to get between peaks. That being said, there’s a lot of variety for everyone, a lot of things to do in town, and lodging isn’t super expensive. Also the T Bar bar is very fun for Apres. ",Raghava K.
57,2023-05-10,Colorado,Crested Butte Mountain,5,"Really amazing and extensive terrain for advanced and expert skiers. Also great transit between town and resort, and the town has amazing food and bars. Had no idea how nice and kind of fancy of a resort Crested Butte Mountain is. Intermediates could start to exhaust their options after a couple days, but what does exist for them is great. ",Raghava K.
58,2023-05-10,Colorado,Vail,5,"I enjoyed Vail a lot more this time than my last time. I finally made it to Blue Sky Basin which really is an amazing area that one could spend a lot of time at. Also I really like the parking garage situation, despite being a little pricey there are no bad parking spots because the garage is vertical and you can get to the lifts quickly. re are some fun long frontside runs as well that have enough of an angle to have fun ripping even if they aren’t challenging. When the snow is good, there’s just a lot of terrain at Vail that’s very fun and the quantity of it means it stays good for a bit even tho the resort is still crowded. ",Raghava K.
59,2023-05-10,Colorado,Beaver Creek,3,"re are some good runs here, and part of my qualms are just being unfamiliar with the resort, but it’s easy to not know where you’re going. We found ourselves on a ton of cat tracks or very flat crossing areas. Getting around felt like a very conscious decision vs just being able to ski fun runs to the other side. Also getting parking at the main area is tough and the bus ride from the bottom parking lot, while not bad, is still not as convenient as transit as other resorts. ",Raghava K.
60,2023-05-10,Colorado,Telluride,5,"Telluride is amazing.  town has very good food and cool bars, the gondola transportation is great, and the lodging options are awesome. Staying in town vs mountain village can give two cool and different options.  scenery is the best in the US and the terrain has a lot of varied options to challenge people. Having double greens and double blues is helpful since the resort is steep and this makes it easier for intermediates to progress. And there are endless crazy lines to ski if you’re willing to hike a little. Only downsides are harder to get to and expensive. ",Raghava K.
103,2006-10-23,California,Palisades Tahoe,5,"This is one of my favorite s in Tahoe. Expansive Terrain, Great Views. Resort is best for Intermediate and Advanced Skiers.  new village provides some nice amenities. ",ericadyer
104,2006-10-23,Idaho,Sun Valley,5,"I’ve skied all over the world and everything at Sun Valley and Ketchum is first class. Great “real” town (not fake ski village) with really good restaurants and lots going on. Skiing is excellent on Baldy but it’s not a beginners’ mountain. It’s a skiers mountain with a huge vertical drop and tough terrain that is perfect for level 6 or higher skiers. Snowmaking is prevalent to make up for the historical early season lack of snow (although this year the snow was great).  Novices will better enjoy Dollar Mountain. but there isn’t much terrain diversity or vertical on Dollar. But for families there is a ton to do other than ski: tubing, ice skating, sleigh rides, snowshoeing, sledding, and a free bus service that takes you anywhere around Ketchum and Sun Valley. Bottom line: our entire experience was simply first class.

Special note on the Sun Valley Ski School   It’s on the expensive side, but worth it. Really professional and friendly staff and an excellent program for kids. Our 8 and 10 year olds LOVED their experience with Sun Valley Snow Sports at Dollar Mountain.


 ",ericadyer
107,2006-10-24,California,Donner Ski Ranch,3,"<font size=""2""><p> mountain is less a place to see and more a place to ski. Norm&#39;s Run, off Chair 3, is a fall line cruiser that stretches for three quarters of a mile. Donner Ski Ranch was the first Sierra  to allow snowboarders and they make up a large portion of the Ranch&#39;s clientele.  Well maintained half pipe and Terrain Park. Donner Ski Ranch hosts several snowboard competitions throughout the season.</p></font>",FroDog
108,2006-10-24,California,Boreal,4,"<font size=""2""><p>y&#39;ve really nailed the urban snow scene. ir Friday Night Expression Sessions are a hit with the youth jam crowd looking for great prizes and an always changing venue. Fun to watch in an oddly mesmerizing way. Series runs January through March every other Friday.</p></font>",FroDog
109,2006-10-24,Nevada,Diamond Peak,4,Observation Deck   Great views. y were out of BEER.  hot alcohol drinks were lousy. For $6.50 they should provide a higher quality. y missed a great opportunity to provide a one of a kind experience. ,FroDog
110,2006-10-24,Washington,Mt. Baker,5,BAker is a great  a natrual half pipe and a decent park. but baker is more about downhill and tree runs it is a great place to spend a powder day. (not my home ),jackson321
111,2006-10-24,Washington,Alpental,5,MY FAVORIT WA RESORT> althought technicly i think it is part of snoqualmie. Lots of advanced runs and the best backcountry ever. (see my summit review i say more) Plus one pass will get you accesse to three other s.,jackson321
112,2006-10-24,Washington,Stevens Pass,3,"Worst lift and ticket lines I have ever seen. Parking lot expansion has been prioritized to an extent that capacity of the entire mountain has been surpassed. On a powder dump, due to the excessive amount of parking spaces, the ticket line wraps around the building, and the lift lines extend halfway up the mountain. re are skis and snowboards littering the entire base area because the ski racks can’t keep up. Good luck finding a place to sit in any of the three lodges. New ownership prioritizes profit over all else and prices have continued to rise as overall quality of being on the mountain plummets. I have had too many bad interactions with inexperienced and rude new employees. I have been a season pass holder for many years. Never again",jackson321
113,2006-10-24,Washington,Summit at Snoqualmie,5," only advanced terrain is at Alpental, but it's REALLY good.",jackson321
116,2006-10-25,Nevada,Mt. Rose Ski Tahoe,5,Rose is one of our favorite ski areas.  Ski the new glade area (if open).  All the locals from Reno hang out here.  It reminds of what ski areas use to be like.  My kids really enjoy coming here.  I enjoy the mountain and how close it is to RENO or the Hyatt.,SammyG
117,2006-10-25,California,Mountain High,5,"Overall our experience was pretty good. Snow conditions were good given the fact that MH is a busy place and in a challenging climate area (So Cal).  lifts were a bit on the older side and my youngest wondered why many of them had no safety bars.  only lift to be problematic that I saw was the one that serviced Easy Street. Parking was as expected, busy. Get here real early on high traffic days and you'll be blessed with a parking spot at either , otherwise you'll have to park at the East to take the shuttle over to the West.  main road is a 2 lane rural road, so there will be traffic jams at the start and end of the day (8:30 4). 

 Generally the lifties were friendly and did their job, likewise with the counter help at the ticket booth, lot attendants and elsewhere. A shout out to Alyssa (sp?) at the children's learning center who exemplified customer service, helping us over an issue with some gear.

Regarding the lessons, there was some confusion with one son's full day skiing lesson and he was placed in a half day, that got sorted but he wasn't able to get any learning drills up on the lift accessed slopes which he was told that he would. My wife and other son felt that the first time lessons for snowboarding were taught at a level or so above their non experience and they could have benefited from a different teaching style. 

Traffic on the slopes was busy during our time there and I expected the usual mix of higher density boarders to a lower number of skiers with the attendant issues. I would expect this at any So Cal ski area though, it's par for the course given the region. Expect shredders and newbies mixing it up, so use situational awareness and have fun  That's why we go, right? Overall though the crowds were generally respectful of each other and I didn't witness any issues between folks that would be cause for concern.

Lodge life was typical for the level of ski area that it is, I didn't imbibe in apres ski drinks at the base (I had to drive) but the food is average park food, a bit pricey though as was the alcohol.  firepits at the west lodge looked nice and cozy.  vibe is typically chill SoCal.

Generally the place was a decent value for the money, no doubt you may find a better snow experience in different areas (CO, UT, BC etc), but as has been mentioned to the point of distraction, MH is an easily accessible place usually with decent snow. A great place to learn and do some growing before driving up to Mammoth, Tahoe, the Wasatch and beyond or maybe it's your home mountain and you're fine with that. ",SammyG
118,2006-10-25,West Virginia,Snowshoe Mountain,5,"On March 2 thru 4, it isn't at all crowded on the mountain.  No waiting lines anywhere.  employees we encountered at Starbucks, Cheat Mountain Pizza, Foxfire Grille and  Junction were mostly unconcerned and unavailable.  We walked out of Cheat Mountain Pizza,  Junction and Foxfire because after being seated, no one came to take our order.  We tried  Junction a second time and again, no one came to take our order so we moved to the bar and were served by the Bartender.  Our room in the Rimfire Lodge had a broken toilet seat, the microwave light was out and the couch was completely worn out. We wanted a late checkout from Rimfire so we could ride snowmobiles at 6 PM so we had to pay an additional $75.  We went to lunch and came back to Rimfire only to be locked out because our keys had expired.  No one at Reservations bothered to help nor explain that one.  After calling and going thru the loop, We had to walk over to  Alpine Lodge to renew our keys.  Lady at THE DEPOT was like talking to a vacant lot.  To make a long story shorter, because there is more, Once Snowshoe has your money, GOOD LUCK with everything else.",SammyG
120,2006-10-26,Alaska,Alyeska,4,Visited in summer!  Sorry....Beautiful hotel!  Plan to go back up to ski.,SammyG
123,2006-10-27,Colorado,Steamboat,4,"I took my 3 and half year old boy and girl twins along with my wife from Dec. 11 till the 16. We had the best time of our life. We are from Texas, so to see that much snow was awesome. We enrolled the twins in the KVC program from 9 am till 3 pm. This was perfect for us in that we could get our skiing in while they were learning to ski.  program take sthe kids out for atleast an hour in the morning and an hour in the afternoon, teaching the the basics of skiing and giving them a sled ride.  kids also got to enjoy a gondola ride every day after lunch.  were both eager to go back everyday. My wife I took private lessons from Steamboat ski and  and really took our skiing to the next level. Our instructor was Larry Palmer (Level III certified) and highly recommend him. He may be a bit older, but showed me things that will stay with me a life time. I never waited in lines, had courderoy for miles, and the powder shots made heaven on earth. Everyone must eat at the top of the gondola for the lunch speacial and breathtaking view. I cant  wait to return, I love my Steamboat.",ericadyer
126,2006-10-29,Utah,Alta,5,"CLASSIC. Sorry, Boarders, you’re still not welcome.
Alta has been about pure, unspoiled skiing since 1938. If you're looking for the groomers, you're in the wrong canyon. Alta's  wide variety of terrain, breathtaking alpine scenery and superb snow conditions make an unforgettable outdoor experience for family and friends willing and able to explore off piste. Alta equals deep powder snow, rugged terrain, chutes cliffs and steep bumps. y installed the Collins highspeed quad chairlift so you'll have faster access to Rustler, Ballroom and mostly north/northwest facing terrain. when the line is too long, head to Supreme and Sugarloaf lifts for a bit then return. Don’t be intimidated by the terrain. Though intermediate skiing is limited, Albion Basin rocks for beginners  take advantage of the Ski Free After Three deal for that section of the mountain.   ",Jill Adler
127,2006-10-29,Utah,Snowbird,5,"I can't wait to ski the Bird this season.  Peruvian lift is outta here; replaced with a new high speed quad and a tunnel at the top that spits you into Mineral Basin. I hope this menas shorter tram lines and sooner openings of Mineral and the Peruvian side of this awesome mountain.  top station of the lift  will be located below the steepest Chip's Run pitch, and from there you have the option of sliding through a 600 foot tunnel on a conveyor lift to get to Mineral or heading back to the tram dock.  bonus is that if the tram ever shuts down due to wind, skiers and boarders can still access Peruvian Gulch and Mineral. You’ll be able to predict the storm track more accurately with snowbird's new online snowcam (www.snowbird.com/snowcam).  snowcam provides live shots of the current storm's snow accumulation.  whole scene is lit so you'll be able to see the snow falling at any time of the day or night. Finally, the Cliff Lodge just completed a $5.6 million renovation with new room furnishings, flat screen televisions, bedding, bathroom tile, fixtures and artwork. ",Jill Adler
128,2006-10-29,Utah,Snowbasin,4,"Once secret Snowbasin is only 40 miles from Salt Lake City International Airport and word's getting out! Nearby Ogden has attracted more than seven major ski manufacturers (including atomic and Salomon) to relocate and skiers are now making the drive to experience the 2,959 vertical feet of bowls, chutes and groomers covering more than 2,800 acres. Earl Holding’s (owner of Sun Valley Resort, Sinclair Oil and Little America Hotels) Snowbasin is truly a gem. What was once a small local hill is a full blown rider's paradise. A victim to warmer temperatures, Snowbasin's powder is often 'heavier' than over in the Cottonwood Canyons but it's still more plentiful and lighter than just about anywhere outside of Utah. 
Avoid the Strawberry area on foggy days; instead, play in the trees under the John Paul lift. This  is so much more than ""that place that hosted the 2002 Olympic Downhill"". and don't get me started on the food.  stirfry rocks!",Jill Adler
129,2006-10-29,Utah,Brighton,3,"Brighton is consistently voted number one for ""Best Value"" and ""Best Child/Family Friendly Terrain,” and though some  ratings are biased, in this case, they're on the money. Brighton can’t help but attract the kiddies  especially the ones on snowboards. Now that Alta has replaced Germania and Watson Shelter with state of the art construction, Brighton becomes the #2 old school  behind Powder Mountain. Heads up   Millicent lift is destined for the scrap pile after this season. A new high speed lift is planned for the area, making your access to the backcountry that much smoother. Because I don't snowboard and I enjoy steeper, longer runs, Brighton isn't usually my first choice unless I'm skiing with beginners or intermediates.",Jill Adler
130,2006-10-29,Utah,Solitude Mountain,4,I always ski Solitude on Saturdays because there are no lines. I have yet to stand in line at Solitude no matter the conditions. I've been there on an 18in powder dump Saturdays and Sunny and beautiful Saturdays. This place just spreads people out enough to keep the crowds non existant.,Jill Adler
131,2006-10-29,Utah,Deer Valley,4,"Ladies, Beware the bathrooms in the upper level of Snow Park Lodge.  automatic flushers are going haywire and flushing while your tush is still planted. Nothing like a spritz of cold water to complement a cold ski day!",Jill Adler
132,2006-10-29,Utah,Park City Mountain,4,"We were there on a Friday and the lines were nearly non existant. I think the longest we waited was about 5 minutes on one of the slow double chairs on the back side. We went back the next run and the line was gone. That's the great thing about Utah, no lines.",Jill Adler
133,2006-10-29,Wyoming,Jackson Hole,5,"Jackson EpilogI went to Jackson Hole to ski the steeps.  I have no interest in the ""forgiving greens"" or the ""wide open cruisers"".  Corduroy belongs on pants.  I don't know if these even exist at Jackson Hole, nor do I care.  I went to ski the steeps.  and Jackson delivered.For seven days I completely immersed myself in skiing, expert skiing.  No women and children whining about how cold it is or lost gear or equipment problems.  My compatriots and I went to Jackson to ski, to ski a lot, to ski hard, to ski the steeps. terrain at Jackson Hole is unique.  Viewed from a distance, only a few ski runs are visible because the trees are generally few and well spaced.  Did I mention the terrain is steep?   ski area shares a boarder with Grand Teton National Park, one of the most beautiful and spectacular places in the country.  Glaciers sliced down the sides of these mountains creating horns, arˆtes, hanging valleys and cliffs like exist nowhere else in American skiing.As every serious skier knows by now, the iconic Jackson Hole tram is headed for the last roundup.  This is its last ski season and we went on holy mission, a Hajj, to pay our last respects to one of the greatest lifts this country has ever seen.  Vertical rise: 4,139 feet.  Ride time: 12 minutes.  Terrain accessed: unsurpassed.  Management says the tram could still operate for several more years, but to be on the safe side, it will glide up the mountain for the last time in September 2006.  Management also says it doesn't have the money to replace the tram and is looking for alternative funding sources including the Wyoming state government.   governor and the legislature have already said, ""Fuggedaboutit"".  So what will Jackson Hole look like without the tram?  Still steep.  After the tram goes, the highest lift will be the Sublette chair, but it ends about 700 vertical feet below tram's summit.  In the immediate future, Rendezvous Bowl, the primary run from the top will be hike to terrain.  So will Corbet's Couloir, one of the most infamous runs in the country.   quasi out of bounds skiing in Cody Bowl will also be a bit more of a hike. Sublette Chair will be one of the primary Jackson attractions in the post tram era for steeps.  From the top, you can access Cheyenne Bowl, Bernie's Bowl, Laramie Bowl, Tensleep Bowl and the Cirque.   hike up the Headwall is also accessed most easily from here.  For those tempting out of bounds fate, Rock Springs Bowl and Green River Bowl are just beyond the southern boundary.  If that's not enough, the Hobacks, Lower Sublette Ridge, South Coulter Ridge and other expert runs dropping to the bottom of the mountain are also available.  Session the north facing Alta Chutes a few times.  Throw in a few runs down Bivouac and Bivouac Woods, also north facing, but one bowl south of the Alta Chutes.  Traverse over and drop into the Expert Chutes under some spectacular cliffs, cut over to Paintbrush, then hit the Thunder Chair, the other lift accessing the killer terrain under the old tram. Thunder Chair, like Sublette, ends on a ridge and you can ski either side.   signature run from Thunder is the Tower Three Chute.  Steep.  Relentless.  Sweet.  This is another north facing run and this whole exposure has some of the thickest trees on the mountain.  Several other runs and glades drop down this same exposure.  Cliff bands snake through some of this terrain, but they are fairly well marked. hike up the Headwall accesses not only its namesake, but also Casper Bowl, Sheridan Bowl, the Crags and numerous chutes through and between the named bowls.   required hike cuts down on the ski traffic, of course, and as a result, some of the best snow on the mountain is available in these areas. biggest lift, after the tram is put out to pasture, will be the Bridger Gondola which rises 2730 vertical feet and accesses some fun trees and provides the way to get to the Thunder Chair.   AprŠs Vous high speed quad has some blues under it, but it also drops you at the top of the Saratoga Bowl which can be a major kick on a powder day, as we found out.  se runs aren't as steep as those from Sublette or Thunder, but there are some great trees and interesting rocks for jumping and dodging.Lodging was in a generic condo in Teton Village at the ski area base.  AprŠs ski was at the Mangy Moose for beer and loud music.   town of Jackson, 8 miles or so away, has the best restaurants, especially for steaks and game meat.  Beer is sold at liquor store in the same building as the Moose.Around town we saw several other groups of guys like ours that were there for the serious skiing.   aprŠs ski hot tubs were filled with guys discussing top of the line skis in detail or telling tales of past trips to Alta, Snowbird, Squaw Valley, Taos, Aspen Highlands, Telluride and other holy places of the steep and deep.  Nary a word was uttered of day care, lessons or shopping.   tram line, which ran 20 to 45 minutes, was filled with similar chatter.  Total immersion in skiing, expert skiing.  That's what we came for.  That's what we got.  and it was great.",Jill Adler
134,2006-10-29,Utah,Sundance,3,sundance is a very family friendly  with runs for everyone. they have a front and a back mountain to help separate skill levels more. the people are so nice! everything about this  makes me smile.,Jill Adler
135,2006-10-29,Utah,Brian Head,3,Great Resort,Jill Adler
136,2006-10-30,New Hampshire,Bretton Woods,4,"I think Bretton Woods gets a bad rap for not being verticle enouhg, but for a great full day of skiing, you can;t beat the place.  re is tree skiing, bums and steeps.  It's no Whistler or Jackons Hole for difficulty, but for a nice day of skiing and riding with great snow and lots of friendly workers, you can't beat it.  If you're looking to break your neck careening down steeps and bumps, this isn't the place for you.   views can't be beat either  you look straight down at the beautiful Mt. Washington Hotel with it's reagl red roof and accross to the White Mountain Presidential Range.  On a clear day you can even see the Mt. Washington Ovbservatroy  site of the highest recored wind gust in history.",Twenz
137,2006-10-30,New Hampshire,Loon Mountain,4,A lot of these reviews are for the hotel (which is not owned by Loon Mountain). This is one of the best mountains I've ever skied at and any complaint about the Mountain Club should be taken down. Loon doesn't own lodging.,Twenz
139,2006-10-31,California,Sierra at Tahoe,3,Sierra at Tahoe is a quality  off Highway 50. re is a good variety of terrain for all ability levels. It is also about 20 minutes or so before Lake Tahoe so it's less of a drive from Sacramento or SF. ,ericadyer
140,2006-10-31,California,Heavenly Mountain,5,"Beautiful place and super big ski . You switching from California to Nevada states which we think is super cool.  town is lovely and in general good services all around.  big shock was that we took a brake and went to the bar. 2 regular plastic glasses of beer $27.00
That to me is to much, I’m used to go to sport events, stadiums or arenas and $6 8 dollars beer is understandably but not $13.50. That’s just my opinion. Solution we bought our own and problem solved. ",ericadyer
141,2006-10-31,New Hampshire,Gunstock,4,"Totally disappointed in Gunstock this morning... My kids skied here and now my grandson does.. I do not ski, so when I bring my grandson up, he's alone.. since when do you tell single riders that they have to have a partner to ride the lifts?????? When he came back to the car , very upset and told me what the guy at the lift said to him, I stood at my car and within 5 minutes watched more then 15 people singly get on the Panorama lift, that's not even counting the other lift where there was too many to count. If that's the case your guide should be asking everyone to pair up to ride. You should be ashamed that you have people working there that will single out young riders and make them feel bad and upset them. I just dont understand how that is allowed....",Twenz
142,2006-10-31,Pennsylvania,Montage Mountain,4,"Terrain park was behind the times last year. I should no as seeing i started to take care of it with friends towards the end of the year. But this year they have bought new rails, will be moving it to a bigger and wider trail then previous switch, also bigger jumps, and a professional park crew. Which means these guys know what they are doing. It has been a long time coming for montages park, and i only hope the best for it. When i recomend it i will be just make a guess of what i think it will be. For more info on all Pa ski areas check out Paskiandride.com. With forums, galleries, Nice people, and great tips.",Twenz
143,2006-10-31,New Hampshire,Attitash,4,"I would be embarrassed if I was Vail. Purchasing a money pit like this, you can see the miss management, the lack of care for the infrastructure, and most of all the lack of professionalism by their employees, at any particular part of their  a person not paying attention, except on their cellphone, lifts suck and food is blahh, they had a pretty decent onion soup, rest was frozen. I'm not going back, especially for 79 dollars",Twenz
144,2006-11-01,California,Palisades Tahoe,5,"Where all the hot skiers hang out.  If you're spinning KT 22 and a couple locals grab a chair with you, you've been accepted into the tribe.  Squaw has got the terrain and skiers to walk (ski) the talk.  I'm just getting to know Squaw and it's going to be a long term relationship.   When I first get there, I follow the duct taped shredders over to Shirley to pick up any fresh lines and/or missed stashes.  n, work toward Siberia to see how the Palasades have set from the evening chill.  Next, Headwall to get some nice big carvey turns down the shoulders.   Lastly, KT 22/Olympic to play in the alternate chutes and bowls.  I've played a little in the trees of Squaw Creek, but have mostly left it to the boarders.  y deserve a special place like anyone.  You can get alot of skiing in on this hill.  It spreads the crowds out and gives you something to really step up your game.  Great breakfast/lunch joints at the base, but the  also has it's share of high school cafeteria style eating (for the quick take on the chair bite).   Nice bar life afterwards with a energetic crowd.   new village adds some class with retail like the Wine/Cigar store.  But at present if I want a good meal I'll go to Tahoe City.  I normally do a 3 day weekend in Tahoe with Squaw always being on the circuit.  If the snow is right, it might even be the only destination for the trip.",anhillx
145,2006-11-01,Washington,Alpental,5,"Best in the West if you can take it.  Not everyone's up to jumping off that 10 foot, icy, rocky entrance into Upper International.  Or, spinning the 2 chair 2700 foot descent 4x/hr (10 minute up, 5 minutes down).  When the Upper Gate is open, you might hesitate from the 50 degree faces and un ending chutes for that 2k run with a icy trail return.  Hey, I understand.  You gotta start somewhere, right?  Spend a couple years over Crystal/Stevens and you might be ready for it.  Get some Avy training.  Get comfortable staying on your feet on tricky terrain.  n, follow someone you you trust who knows their way around the slopes.  You don't go to Alpental to cruise the groomers.  You go to scare yourself on the off piste and come home feeling like a warrior (after a few pints in the bar afterwards of course).  A warning to the first timers though.  If you're not up to it, you'll come home feeling like a poser.  This hill has a tight local following.  If you show you're talent on the hill, they'll greet you as one of their own in the bar.  If you don't, you'll feel like a goldfish in a bowl.  Alpental is where you go to ski some of the sickest chair assessible terrain in the Northwest.  If you step up to it, you'll keep coming back.  If you can't, you'll just talk about it on another hill's chairlift.",anhillx
146,2006-11-01,California,Heavenly Mountain,3,With the addition of a gondola next to the hotels and casinos Heavenly has become a world class destination .   has incredible terrain for all ability levels.  views onto Lake Tahoe from the  are breath taking. re are a lot of great restaurants and lodging options to choose from.  apres ski at the  is a bit light but there are lots of options down on the stateline.,anhillx
147,2006-11-01,Washington,Crystal Mountain Washington,5,"Flash back to the 1980's   this is what s were before rails & half pipes.  Beautiful wide open bowls, glades and runs.   steeps were just that and then some.   lower lifts were 6 person cattle cars that got you up fast to get as much vertical as the legs will allow.   back country here was massive   get a local to guide you on your first time out, lots of creeks & ponds/lakes.  We ski/ride mid week because there are no lines and crowds, but I heard that the crowds do come up for the weekend (like everywhere else).  I am keeping my eye on the weather, 8 12 in of pow would make this place heaven on earth.",anhillx
