,city,state,ski_resort,location
65,Brian Head,Utah,Brian Head,"Taylors Falls, Minnesota"
66,Wakefield,Michigan,Jackson Creek,"Whitefish Mountain, Montana"
67,Sisters,Oregon,Hoodoo,"Lakeside, Montana"
68,Dayton,Washington,Bluewood,"Dillon, Colorado"
69,Logan,Utah,Beaver Mountain,"Santa Fe, New Mexico"
70,Boise,Idaho,Bogus Basin,"Vail, Colorado"
71,Conner,Montana,Lost Trail Powder Mountain,"North Powder, Oregon"
72,Taylors Falls,Minnesota,Wild Mountain Ski,"Georgetown, Colorado"
73,Whitefish Mountain,Montana,Whitefish Mountain,"Sun Valley, Idaho"
74,Lakeside,Montana,Blacktail Mountain,"Bolton, Vermont"
75,Dillon,Colorado,Arapahoe Basin,"Missoula, Montana"
76,Santa Fe,New Mexico,Ski Santa Fe,"Dresser, Wisconsin"
77,Vail,Colorado,Vail,"Bozeman, Montana"
78,North Powder,Oregon,Anthony Lakes Mountain,"Keystone, Colorado"
79,Georgetown,Colorado,Loveland,"Wausau, Wisconsin"
80,Sun Valley,Idaho,Sun Valley,"Kellogg, Idaho"
81,Vail,Colorado,Beaver Creek,"Anaconda, Montana"
82,Bolton,Vermont,Bolton Valley,"Houghton, Michigan"
83,Missoula,Montana,Montana Snowbowl,"Running Springs, California"
84,Dresser,Wisconsin,Trollhaugen,"Glenwood Springs, Colorado"
85,Bozeman,Montana,Bridger Bowl,"Las Vegas, Nevada"
86,Keystone,Colorado,Keystone,"Government Camp, Oregon"
87,Wausau,Wisconsin,Granite Peak,"Lakeshore, California"
88,Kellogg,Idaho,Silver Mountain,"Red Lodge, Montana"
89,Anaconda,Montana,Discovery,"Franconia, New Hampshire"
90,Houghton,Michigan,Mont Ripley,"Lutsen Mountains, Minnesota"
91,Running Springs,California,Snow Valley,"Vernon, New Jersey"
92,Glenwood Springs,Colorado,Sunlight Mountain,"Centennial, Wyoming"
93,Las Vegas,Nevada,Lee Canyon,"Princeton, Massachusetts"
94,Government Camp,Oregon,Mt. Hood Skibowl,"Boyne Falls, Michigan"
95,Lakeshore,California,Ski China Peak,"Iron River, Michigan"
96,Red Lodge,Montana,Red Lodge Mountain.,"Marysville, Montana"
97,Franconia,New Hampshire,Cannon Mountain,"Biwabik, Minnesota"
98,Lutsen Mountains,Minnesota,Lutsen Mountains,"Jay, Vermont"
99,Vernon,New Jersey,Mountain Creek,"Wenatchee, Washington"
100,Centennial,Wyoming,Snowy Range,"Tannersville, Pennsylvania"
101,Princeton,Massachusetts,Wachusett Mountain,"Jackson, New Hampshire"
102,Boyne Falls,Michigan,Boyne Mountain,"Nederland, Colorado"
103,Iron River,Michigan,Ski Brule,"Polaris, Montana"
104,Marysville,Montana,Great Divide,"Neihart, Montana"
105,Biwabik,Minnesota,Giants Ridge,"Tully, New York"
106,Jay,Vermont,Jay Peak,"Stowe Mountain, Vermont"
107,Wenatchee,Washington,Mission Ridge,"Blakeslee, Pennsylvania"
108,Tannersville,Pennsylvania,Camelback Mountain,"Burnsville, Minnesota"
109,Jackson,New Hampshire,Black Mountain,"Thompsonville, Michigan"
110,Nederland,Colorado,Eldora Mountain,"Killington, Vermont"
111,Polaris,Montana,Maverick Mountain,"Bellaire, Michigan"
112,Neihart,Montana,Showdown,"Smugglers Notch, Vermont"
113,Tully,New York,Song Mountain,"Vadito, New Mexico"
114,Stowe Mountain,Vermont,Stowe Mountain,"Bretton Woods, New Hampshire"
115,Blakeslee,Pennsylvania,Big Boulder,"Harbor Springs, Michigan"
116,Burnsville,Minnesota,Buck Hill,"Gaylord, Michigan"
117,Thompsonville,Michigan,Crystal Mountain Michigan,"Big Bear Lake, California"
118,Killington,Vermont,Killington,"Casper, Wyoming"
119,Bellaire,Michigan,Schuss Mountain,"Hancock, Massachusetts"
120,Smugglers Notch,Vermont,Smugglers' Notch,"Lincoln, New Hampshire"
121,Jackson,New Hampshire,Wildcat Mountain,"Boone, Iowa"
122,Vadito,New Mexico,Sipapu Ski and Summer,"Carrabassett Valley, Maine"
123,Bretton Woods,New Hampshire,Bretton Woods,"Ellicottville, New York"
124,Harbor Springs,Michigan,Nubs Nob,"East Burke, Vermont"
125,Gaylord,Michigan,Treetops,"Bridgton, Maine"
126,Big Bear Lake,California,Bear Mountain,"Newry, Maine"
127,Casper,Wyoming,Hogadon,"Los Alamos, New Mexico"
128,Hancock,Massachusetts,Jiminy Peak,"Hillsdale, New York"
129,Lincoln,New Hampshire,Loon Mountain,"Ellicotville, New York"
130,Boone,Iowa,Seven Oaks,"Charlemont, Massachusetts"
131,Big Bear Lake,California,Snow Summit,"Canandaigua, New York"
132,Carrabassett Valley,Maine,Sugarloaf,"Monticello, New York"
133,Ellicottville,New York,Holimont,"Schenectady, New York"
134,East Burke,Vermont,Burke Mountain,"Warren, Vermont"
135,Bridgton,Maine,Pleasant,"Ludlow, Vermont"
136,Newry,Maine,Sunday River,"North Creek, New York"
137,Los Alamos,New Mexico,Pajarito Mountain,"West Dover, Vermont"
138,Hillsdale,New York,Catamount Ski Ride Area,"Malone, New York"
139,Ellicotville,New York,Holiday Valley,"Manchester Center, Vermont"
140,Charlemont,Massachusetts,Berkshire East,"Wrightwood, California"
141,Canandaigua,New York,Bristol Mountain,"La Crosse, Wisconsin"
142,Monticello,New York,Holiday Mountain,"Danbury, New Hampshire"
143,Schenectady,New York,Maple Ski Ridge,"Greenwich, New York"
144,Killington,Vermont,Pico Mountain,"Red River, New Mexico"
145,Warren,Vermont,Sugarbush,"Cannonsburg, Michigan"
146,Ludlow,Vermont,Okemo Mountain,"Waterville Valley, New Hampshire"
147,North Creek,New York,Gore Mountain,"Wilmington, New York"
148,West Dover,Vermont,Mt. Snow,"Seven Springs, Pennsylvania"
149,Malone,New York,Titus Mountain,"Westernville, New York"
150,Manchester Center,Vermont,Bromley Mountain,"North Conway, New Hampshire"
151,Wrightwood,California,Mountain High,"Highmount, New York"
152,La Crosse,Wisconsin,Mt. La Crosse,"Laconia, New Hampshire"
153,Danbury,New Hampshire,Ragged Mountain,"Hunter, New York"
154,Greenwich,New York,Willard Mountain,"Waitsfield, Vermont"
155,Red River,New Mexico,Enchanted Forest,"Roxbury, New York"
156,Cannonsburg,Michigan,Cannonsburg,"Stratton Mountain Mountain, Vermont"
157,Waterville Valley,New Hampshire,Waterville Valley,"Davis, West Virginia"
158,Wilmington,New York,Whiteface Mountain,"Glen Falls, New York"
159,Seven Springs,Pennsylvania,Seven Springs,"Michigan, Michigan"
160,Westernville,New York,Woods Valley,"Tensleep, Wyoming"
161,North Conway,New Hampshire,Cranmore Mountain,"Londonderry, Vermont"
162,Highmount,New York,Belleayre,"Mt. Baldy, California"
163,Laconia,New Hampshire,Gunstock,"18507 Scranton, Pennsylvania"
164,Hunter,New York,Hunter Mountain,"Newbury, New Hampshire"
165,Waitsfield,Vermont,Mad River Glen,"Greenville, Maine"
166,Roxbury,New York,Plattekill Mountain,"Yosemite, California"
167,Stratton Mountain Mountain,Vermont,Stratton Mountain,"Lisle, Illinois"
168,Davis,West Virginia,Timberline Mountain,"Bloomington, Minnesota"
169,Glen Falls,New York,West Mountain,"Crescent, Iowa"
170,Michigan,Michigan,Mt. Bohemia,"Caroga Lake, New York"
171,Tensleep,Wyoming,Meadowlark,"Wabasha, Minnesota"
172,Londonderry,Vermont,Magic Mountain Vermont,"Neilsville, Wisconsin"
173,Mt. Baldy,California,Mt. Baldy,"Anchorage, Alaska"
174,18507 Scranton,Pennsylvania,Montage Mountain,"01253 Otis, Massachusetts"
175,Newbury,New Hampshire,Mt. Sunapee,"Bartlett, New Hampshire"
176,Greenville,Maine,Big Squaw Mountain Ski,"Hastings, Minnesota"
177,Yosemite,California,Badger Pass,"Chesterland, Ohio"
178,Lisle,Illinois,Four Lakes,"East Troy, Wisconsin"
179,Bloomington,Minnesota,Hyland Ski,"White Lake, Michigan"
180,Crescent,Iowa,Mt. Crescent,"Jackson, Wyoming"
181,Caroga Lake,New York,Royal Mountain,"Kensington, Minnesota"
182,Wabasha,Minnesota,Coffee Mill Ski Snowboard,"Angel Fire, New Mexico"
183,Neilsville,Wisconsin,Bruce Mound,"Freeland, Michigan"
184,Anchorage,Alaska,Hilltop,"Macungie, Pennsylvania"
185,01253 Otis,Massachusetts,Otis Ridge,"Otsego, Michigan"
186,Bartlett,New Hampshire,Attitash,"Blandford, Massachusetts"
187,Hastings,Minnesota,Afton Alps,"Claysburg, PA 16625"
188,Chesterland,Ohio,Alpine Valley Ohio,"Palmerton, Pennsylvania"
189,East Troy,Wisconsin,Alpine Valley Wisconsin,"Peninsula, Ohio"
190,White Lake,Michigan,Alpine Valley Michigan,"Pittsfield, Massachusetts"
191,Jackson,Wyoming,Snow King,"Bradford, Massachusetts"
192,Kensington,Minnesota,Andes Tower Hills,"Sodus, New York"
193,Angel Fire,New Mexico,Angel Fire,"Basye, Virginia"
194,Freeland,Michigan,Apple Mountain,"Bemidji, Minnesota"
195,Macungie,Pennsylvania,Bear Creek Mountain,"Great Barrington, Massachusetts"
196,Bessemer,Michigan,Big Powderhorn Mountain,"Cadillac, Michigan"
197,Otsego,Michigan,Bittersweet,"Camden, Maine"
198,Blandford,Massachusetts,Blandford,"Mahwah, New Jersey"
199,Claysburg,PA 16625,Blue Knob,"Portage, Wisconsin"
200,Palmerton,Pennsylvania,Blue Mountain,"Maggie Valley, North Carolina"
201,Peninsula,Ohio,Boston Mills and Brandywine,"Galena, Illinois"
202,Pittsfield,Massachusetts,Bousquet,"Bruce, Wisconsin"
203,Harbor Springs,Michigan,Boyne Highlands,"Wisconsin Dells, Wisconsin"
204,Bradford,Massachusetts,Bradford,"Hanover, New Hampshire"
206,Sodus,New York,Brantling Ski Slopes,"Watertown, New York"
207,Basye,Virginia,Bryce,"Hazelton, Pennsylvania"
208,Bemidji,Minnesota,Buena Vista,"Juneau, Alaska"
209,Great Barrington,Massachusetts,Ski Butternut,"Union Dale, Pennsylvania"
210,Cadillac,Michigan,Caberfae Peaks Ski Golf,"Lake Geneva, Wisconsin"
211,Camden,Maine,Camden,"Cortland, New York"
212,Mahwah,New Jersey,Campgaw Mountain,"Eureka, Missouri"
213,Portage,Wisconsin,Cascade Mountain,"Steamboat, Colorado"
214,Maggie Valley,North Carolina,Cataloochee,"Ririe, Idaho"
215,Galena,Illinois,Chestnut Mountain,"East Madison, New Hampshire"
216,Bruce,Wisconsin,Christie Mountain,"Glenwood, New York"
217,Wisconsin Dells,Wisconsin,Christmas Mountain,"Truxton, New York"
218,Hanover,New Hampshire,Dartmouth Skiway,"Auburn, Maine"
219,Merrimac,Wisconsin,Devils Head,"Bellefontaine, Ohio"
220,Watertown,New York,Dry Hill,"Twin Falls, Idaho"
221,Hazelton,Pennsylvania,Eagle Rock,"Marquette Mountain, Michigan"
222,Juneau,Alaska,Eaglecrest,"Harrisonburg, Virginia"
223,Union Dale,Pennsylvania,Elk Mountain Ski,"Old Forge, New York"
224,Lake Geneva,Wisconsin,Grand Geneva,"Cornwall, Connecticut"
225,Cortland,New York,Greek Peak,"Greenwood, Maine"
226,Eureka,Missouri,Hidden Valley,"Mankato, Minnesota"
227,Steamboat,Colorado,Howelsen Hill,"Southington, Connecticut"
228,Blakeslee,Pennsylvania,Jack Frost,"Brighton, Michigan"
229,Ririe,Idaho,Kelly Canyon,"Traverse City, Michigan"
230,East Madison,New Hampshire,King Pine,"Holly, Michigan"
231,Glenwood,New York,Kissing Bridge,"Lee, Maine"
232,Truxton,New York,Labrador Mt.,"Warwick, New York"
233,Auburn,Maine,Lost Valley,"Westford, Massachusetts"
234,Bellefontaine,Ohio,Mad River Mountain,"Stockton Springs, Maine"
235,Twin Falls,Idaho,Magic Mountain Idaho,"Wild Rose, Wisconsin"
236,Marquette Mountain,Michigan,Marquette Mountain,"Norway, Michigan"
237,Harrisonburg,Virginia,Massanutten,"Gatlinburg, Tennessee"
238,Old Forge,New York,McCauley Mountain,"Paoli, Indiana"
239,Cornwall,Connecticut,Mohawk Mountain,"Henniker, New Hampshire"
240,Greenwood,Maine,Mt. Abram Ski,"Findley Lake, New York"
241,Mankato,Minnesota,Mt. Kato,"Lawrenceburg, Indiana"
242,Southington,Connecticut,Mt. Southington,"Iron Mountain, Michigan"
243,Brighton,Michigan,Mt. Brighton,"Albion, Idaho"
244,Traverse City,Michigan,Mt. Holiday,"Kimball, Minnesota"
245,Holly,Michigan,Mt. Holly,"Albuquerque, New Mexico"
246,Lee,Maine,Mt. Jefferson,"Cashiers, North Carolina"
247,Warwick,New York,Mt. Peter,"Granby, Colorado"
248,Westford,Massachusetts,Nashoba Valley,"Ruidoso, New Mexico"
249,Stockton Springs,Maine,New Hermon Mountain.,"Banner  Elk, North Carolina"
250,Wild Rose,Wisconsin,Nordic Mountain,"Carroll Valley, Pennsylvania"
251,Eden,Utah,Nordic Valley,"Lewisberry, Pennsylvania"
252,Norway,Michigan,Norway Mountain,"Morris, Pennsylvania"
253,Gatlinburg,Tennessee,Ober Gatlinburg Ski,"Andalusia, Illinois"
254,Paoli,Indiana,Paoli Peaks,"New Hartford, Connecticut"
255,Henniker,New Hampshire,Pats Peak,"Windham, New York"
256,Findley Lake,New York,Peekn Peak,"Turin, New York"
257,Lawrenceburg,Indiana,Perfect North Slopes,"Harrison, Michigan"
258,Iron Mountain,Michigan,Pine Mountain,"Mansfield, Ohio"
259,Albion,Idaho,Pomerelle Mountain,"Snowshoe Mountain, West Virginia"
260,Kimball,Minnesota,Powder Ridge Minnesota,"Fairfield, Idaho"
261,Red River,New Mexico,Red River,"Duluth, Minnesota"
262,Albuquerque,New Mexico,Sandia Peak,"Spring Mt., Pennsylvania"
263,Cashiers,North Carolina,Sapphire Valley,"Banner Elk, North Carolina"
264,Granby,Colorado,Granby Ranch,"Woodstock, Vermont"
265,Ruidoso,New Mexico,Ski Apache,"Kewaskum, Wisconsin"
266,Banner  Elk,North Carolina,Ski Beech Mountain,"Dubuque, Iowa"
267,Carroll Valley,Pennsylvania,Liberty,"Greer, Az"
268,Lewisberry,Pennsylvania,Roundtop Mountain,"Swain, New York"
269,Morris,Pennsylvania,Ski Sawmill,"Jones, Michigan"
270,Andalusia,Illinois,Ski Snowstar,"Lead, South Dakota"
271,New Hartford,Connecticut,Ski Sundown,"Choteau, Montana"
272,Windham,New York,Windham Mountain,"Hot Springs, Virginia"
273,Turin,New York,Snow Ridge,"Glen Arbor, Michigan"
274,Harrison,Michigan,Snow Snake,"Patterson, New York"
275,Mansfield,Ohio,Snow Trails,"Gobles, Michigan"
276,Snowshoe Mountain,West Virginia,Snowshoe Mountain,"Fabius, New York"
277,Fairfield,Idaho,Soldier Mountain,"Boalsburg, Pennsylvania"
278,Duluth,Minnesota,Spirit Mountain,"Mt. Horeb, Wisconsin"
279,Spring Mt.,Pennsylvania,Spring Mountain,"Bartlett, Illinois"
280,Banner Elk,North Carolina,Sugar Mountain,"Pinedale, Wyoming"
281,Woodstock,Vermont,Saskadena Six,"Upson, Wisconsin"
282,Kewaskum,Wisconsin,Sunburst,"Mercersburg, Pennsylvania"
283,Dubuque,Iowa,Sundown Mountain,"Wilmot, Wisconsin"
284,Greer,Az,Sunrise Park,"Flat Top, West Virginia"
285,Swain,New York,Swain,"Wintergreen, Virginia"
286,Jones,Michigan,Swiss Valley,"McHenry, Maryland"
287,Lead,South Dakota,Terry Peak,"Mars Hill, North Carolina"
288,Choteau,Montana,Teton Pass,"Woodbury, Connecticut"
289,Hot Springs,Virginia,Omni Homestead,"Slocum, Rhode Island"
290,Glen Arbor,Michigan,The Homestead,"Canton, Massachusetts"
291,Patterson,New York,Thunder Ridge,"Lackawaxen, Pennsylvania"
292,Gobles,Michigan,Timber Ridge,"Weston, Missouri"
293,Fabius,New York,Toggenburg Mountain,"Bennington, New Hampshire"
294,Boalsburg,Pennsylvania,Tussey Mountain,"Tamarack, Idaho"
295,Mt. Horeb,Wisconsin,Tyrol Basin,"Weston, Oregon"
296,Bartlett,Illinois,Villa Olivia,"Orchard Park, New York"
297,Pinedale,Wyoming,White Pine,"Shrewsbury, Massachusetts"
298,Upson,Wisconsin,Whitecap Mountain,"Maple Grove, Minnesota"
299,Mercersburg,Pennsylvania,Whitetail,"Grand Haven, Michigan"
300,Wilmot,Wisconsin,Wilmot Mountain,"Cody, Wyoming"
301,Flat Top,West Virginia,Winterplace Ski,"Elko, Nevada"
302,Wintergreen,Virginia,Wintergreen,"Beaver, Utah"
303,McHenry,Maryland,Wisp,"Clartkston, Michigan"
304,Mars Hill,North Carolina,Wolf Ridge Ski,"Enfiled, New Hampshire"
305,Woodbury,Connecticut,Woodbury,"Slinger, Wisconsin"
306,Slocum,Rhode Island,Yawgoo Valley,"Speculator, New York"
307,Davis,West Virginia,Canaan Valley," Venango, Pennsylvania"
308,Mt. Hood,Oregon,Cooper Spur,"Naples, New York"
309,Canton,Massachusetts,Blue Hills,"Middlefield, Connecticut"
310,Lackawaxen,Pennsylvania,Big Bear,"Shawnee on Delaware, Pennsylvania"
