review_date,state,ski_resort,rating,review,user_name
5/5/23,Utah,Park City Mountain,4,"Great terrain, close to airport, but lodging is very expensive",Stephanie Ciaccia
5/5/23,New York,Hunter Mountain,2,Very crowded and snow quality is typically low. But this is due to the poor weather.,Stephanie Ciaccia
5/9/23,New York,Snow Ridge,3,"Great skiing, a little inconvenient to drive to and always packed with people but it has great slopes",Joseph Lewis
5/9/23,New York,Gore Mountain,4,"Huge mountain, great price for great slopes and well carved moguls! Absolute must for any skier! ",Joseph Lewis
5/9/23,Pennsylvania,Roundtop Mountain,3,Greta nigh skiing and never busy! Prices are not great on the weekends but definitely should try once!,Joseph Lewis
5/9/23,New York,Woods Valley,3,I haven't gone to this resort as much because of the crowds and overpriced day passes but it still has great slopes for all levels. ,Joseph Lewis
5/9/23,New York,McCauley Mountain,5,Overall I've gone almost every week and had a great time everytime especially if the weather calls for good powder. ,Joseph Lewis
5/9/23,Washington,Steven's Pass,5,"Lots of snow, small local mountain. ",Alexandria Kelly
5/9/23,Colorado,Vail,3,"Lots of terrain, but very busy. ",Alexandria Kelly
5/9/23,Utah,Snowbird,4,"Great expert terrain, feels very grand and exciting. ",Alexandria Kelly
5/9/23,Utah,Park City Mountain,2,"Lots of terrain, but usually very busy. The town is great, but the skiing for all mountain is only okay. ",Alexandria Kelly
5/9/23,Colorado,Telluride,5,"Super fun, good intermediate terrain, very steep, feels like you can get lost in the mountains, has really hard terrain for those who want it too",Deanna Uzarski
5/9/23,Colorado,Breckenridge,3,Huge mountain but not as pretty. Blues are too easy. Great local village though and fun apres. Very crowded greens ,Deanna Uzarski
5/9/23,Colorado,Crested Butte ,3,Really cool resort but on the small side and  most terrain is too difficult for intermediate skiers. Great town near by though,Deanna Uzarski
5/9/23,Utah,Alta,5,Really good resort for feeling like you can get lost in the mountains. Excellent terrain for all levels. Tons of snow. ,Deanna Uzarski
5/9/23,Colorado,Vail,4,One of my favorites. Good intermediate terrain and fun back bowls. less steep overall. A little fancy / kinda snobby ,Deanna Uzarski
5/10/23,Colorado,Breckenridge ,4,"Breck is a decent resort, but a lot of the terrain is pretty uninteresting. Blues are very flat for example. Some of this was also due to me being with a beginner crew, and it’s a bit harder to just ski an advanced run next to a beginner run here. Also it can be crowded and is a pain to get between peaks. That being said, there’s a lot of variety for everyone, a lot of things to do in town, and lodging isn’t super expensive. Also the T Bar bar is very fun for Apres. ",Raghava Kamalesh
5/10/23,Colorado,Crested Butte,5,"Really amazing and extensive terrain for advanced and expert skiers. Also great transit between town and resort, and the town has amazing food and bars. Had no idea how nice and kind of fancy of a resort Crested Butte is. Intermediates could start to exhaust their options after a couple days, but what does exist for them is great. ",Raghava Kamalesh
5/10/23,Colorado,Vail,5,"I enjoyed Vail a lot more this time than my last time. I finally made it to Blue Sky Basin which really is an amazing area that one could spend a lot of time at. Also I really like the parking garage situation, despite being a little pricey there are no bad parking spots because the garage is vertical and you can get to the lifts quickly. There are some fun long frontside runs as well that have enough of an angle to have fun ripping even if they aren’t challenging. When the snow is good, there’s just a lot of terrain at Vail that’s very fun and the quantity of it means it stays good for a bit even tho the resort is still crowded. ",Raghava Kamalesh
5/10/23,Colorado,Beaver Creek,3,"There are some good runs here, and part of my qualms are just being unfamiliar with the resort, but it’s easy to not know where you’re going. We found ourselves on a ton of cat tracks or very flat crossing areas. Getting around felt like a very conscious decision vs just being able to ski fun runs to the other side. Also getting parking at the main area is tough and the bus ride from the bottom parking lot, while not bad, is still not as convenient as transit as other resorts. ",Raghava Kamalesh
5/10/23,Colorado,Telluride,5,"Telluride is amazing. The town has very good food and cool bars, the gondola transportation is great, and the lodging options are awesome. Staying in town vs mountain village can give two cool and different options. The scenery is the best in the US and the terrain has a lot of varied options to challenge people. Having double greens and double blues is helpful since the resort is steep and this makes it easier for intermediates to progress. And there are endless crazy lines to ski if you’re willing to hike a little. Only downsides are harder to get to and expensive. ",Raghava Kamalesh
